,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,46,2020-04-09,25085,21717,21340,1937,18100,47894,5315
,2020-04-20,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,47,2020-04-10,25085,21717,21340,1937,18100,47894,5315
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,48,2020-04-11,25085,21717,21340,1937,18100,47894,5315
,Italy,300,24114,399,454,2020-03-10,41,2020-03-12,39,2020-04-21,42,24114,0,,,,,,,,,,,,,49,2020-04-12,25085,21717,21340,1937,18100,47894,5315
,Spain,230,20852,446,399,2020-03-17,34,2020-03-23,28,2020-04-21,35,20852,0,,,,,,,,,,,,,50,2020-04-13,25085,21717,21340,1937,18100,47894,5315
,France,330,20265,310,547,2020-03-22,29,2020-03-24,27,2020-04-21,30,20265,0,,,,,,,,,,,,,51,2020-04-14,25085,21717,21340,1937,18100,47894,5315
,Sweden,50,1580,153,40,2020-03-25,26,2020-04-07,13,2020-04-21,27,1580,0,,,,,,,,,,,,,52,2020-04-15,25085,21717,21340,1937,18100,47894,5315
,UK,330,16509,244,449,2020-03-26,25,2020-03-29,22,2020-04-21,26,16509,0,,,,,,,,,,,,,53,2020-04-16,25085,21717,21340,1937,18100,47894,5315
,USA,1660,42853,129,1952,2020-03-27,24,2020-03-31,20,2020-04-21,25,42514,339,,,,,,,,,,,,,54,2020-04-17,25085,21717,21340,1937,18100,47894,5315
,Germany,414,4862,58,220,2020-03-28,23,2020-03-30,21,2020-04-21,24,4862,0,,,,,,,,,,,,,55,2020-04-18,25085,21717,21340,1937,18100,47894,5315
,,,,,,,,,,,,,,,,,,,,,,,,,,56,2020-04-19,25085,21717,21340,1937,18100,47894,5315
,,,,,,,,,,,,,,,,,,,,,,,,,,57,2020-04-20,24114,21717,21340,1937,18100,47894,5315
,Today,,,,,,,,,,,,,,,,,,,,,,,,,58,2020-04-21,24648,21282,20796,1765,17337,45536,5086
,2020-04-19,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,59,2020-04-22,25085,21717,21340,1937,18100,47894,5315
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,60,2020-04-23,25549,22157,21856,2021,18738,50236,5575
,Italy,300,23660,391,433,2020-03-10,40,2020-03-12,38,2020-04-20,41,23660,0,,,,,,,,,,,,,,,,,,,,,
,Spagna,230,20453,437,410,2020-03-17,33,2020-03-23,27,2020-04-20,34,20453,0,,,,,,,,,,,,,,,,,,,,,
,France,330,19718,302,395,2020-03-22,28,2020-03-24,26,2020-04-20,29,19718,0,,,,,,,,,,,,,,,,,,,,,
,Sweden,50,1540,149,29,2020-03-25,25,2020-04-07,12,2020-04-20,26,1540,0,,,,,,,,,,,,,,,,,,,,,
,UK,330,16060,237,596,2020-03-26,24,2020-03-29,21,2020-04-20,25,16060,0,,,,,,,,,,,,,,,,,,,,,
,USA,1660,40901,124,1570,2020-03-27,23,2020-03-31,19,2020-04-20,24,40575,326,,,,,,,,,,,,,,,,,,,,,
,Germany,414,4642,55,104,2020-03-28,22,2020-03-30,20,2020-04-20,23,4692,-50,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-18,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,,,,,,,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,,,,,,,,,
